Department Family,Entity,Paid Date,Expense Type,Expense Area,Supplier,Transaction No,Amount,Description,Post Code,Country
Department of Health,NHS Business Services Authority,14/06/2024,Professional Fees,Operations,WIDER PLAN LIMITED,80149531,"20,952.19",This cost is in relation to the,B96 6EW,Great Britain
Department of Health,NHS Business Services Authority,14/06/2024,Professional Fees,Operations,WIDER PLAN LIMITED,80149532,"21,897.56",This cost is in relation to the,B96 6EW,Great Britain
Department of Health,NHS Business Services Authority,11/06/2024,Professional Fees,Workforce Transformation,GRANT THORNTON UK LLP,80148518,"25,548.73",Financial Advisory Consultancy,EC2P 2YU,Great Britain
Department of Health,NHS Business Services Authority,11/06/2024,Professional Fees,Workforce Transformation,GRANT THORNTON UK LLP,80148518,"116,067.90",Financial Advisory Consultancy,EC2P 2YU,Great Britain
Department of Health,NHS Business Services Authority,04/06/2024,Internal Audit Fees,People & Corporate Services,GRANT THORNTON UK LLP,80148913,"42,000.00",,EC2P 2YU,Great Britain
Department of Health,NHS Business Services Authority,21/06/2024,Professional Fees,Workforce Transformation,GRANT THORNTON UK LLP,80149702,"94,811.56",Financial Advisory Consultancy,EC2P 2YU,Great Britain
Department of Health,NHS Business Services Authority,11/06/2024,Redfern Service Charge,Statutory Payments,CLARITY TRAVEL LIMITED,80149232,"9,392.31",TRAVEL MAY 24,M1 6EU,Great Britain
Department of Health,NHS Business Services Authority,11/06/2024,Redfern Service Charge,Statutory Payments,CLARITY TRAVEL LIMITED,80149232,"20,920.02",TRAVEL MAY 24,M1 6EU,Great Britain
Department of Health,NHS Business Services Authority,21/06/2024,Redfern Service Charge,Statutory Payments,CLARITY TRAVEL LIMITED,80149660,"12,446.02",BSA TRAVEL 01JUNE - 14 JUNE2024,M1 6EU,Great Britain
Department of Health,NHS Business Services Authority,21/06/2024,Redfern Service Charge,Statutory Payments,CLARITY TRAVEL LIMITED,80149660,"15,623.39",BSA TRAVEL 01JUNE - 14 JUNE2024,M1 6EU,Great Britain
Department of Health,NHS Business Services Authority,18/06/2024,External Project Support,Workforce Services,HIPPO DIGITAL LIMITED,80148864,"65,287.50",B98040 SoW-UCD18 ¿ NHS Volunteers,LS1 4HT,Great Britain
Department of Health,NHS Business Services Authority,04/06/2024,External Project Support,Citizen Services,HIPPO DIGITAL LIMITED,80148994,"39,832.50",B98032-SOW-UCD08 CCN01 Death,LS1 4HT,Great Britain
Department of Health,NHS Business Services Authority,07/06/2024,External Project Support,Citizen Services,HIPPO DIGITAL LIMITED,80149145,"84,470.00",B99234 -SOW-UCD022 Death Certification,LS1 4HT,Great Britain
Department of Health,NHS Business Services Authority,14/06/2024,External Project Support,Workforce Services,HIPPO DIGITAL LIMITED,80149146,"37,450.00",A98049 (Revenue) SOW-UCD014 ¿ Adult,LS1 4HT,Great Britain
Department of Health,NHS Business Services Authority,14/06/2024,External Project Support,Workforce Services,HIPPO DIGITAL LIMITED,80149146,"52,512.50",A99084(Capital) SOW-UCD014 ¿ Adult,LS1 4HT,Great Britain
Department of Health,NHS Business Services Authority,21/06/2024,External Project Support,Citizen Services,HIPPO DIGITAL LIMITED,80149149,"83,897.50",B98057 SOW UCD17 OHS Visitor and,LS1 4HT,Great Britain
Department of Health,NHS Business Services Authority,28/06/2024,External Project Support,Workforce Services,HIPPO DIGITAL LIMITED,80149925,"30,900.00",A98049 (Revenue) SOW-UCD014 ¿ Adult,LS1 4HT,Great Britain
Department of Health,NHS Business Services Authority,28/06/2024,External Project Support,Workforce Services,HIPPO DIGITAL LIMITED,80149925,"52,732.50",A99084(Capital) SOW-UCD014 ¿ Adult,LS1 4HT,Great Britain
Department of Health,NHS Business Services Authority,18/06/2024,Cloud Storage,DDAT,ENTRUST (EUROPE) LIMITED,80149656,"35,670.67",see credit 0050040354,RG1 3BA,Great Britain
Department of Health,NHS Business Services Authority,18/06/2024,Cloud Storage,DDAT,ENTRUST (EUROPE) LIMITED,80149656,"5,434.97",M01018- Covid Pass ¿ Public Key,RG1 3BA,Great Britain
Department of Health,NHS Business Services Authority,21/06/2024,External Project Support,Portfolio Management,BRAMBLE HUB LIMITED,80149618,"27,612.00","Contact: Amrit Sidhu, Contract Manager",SE1 7SP,Great Britain
Department of Health,NHS Business Services Authority,01/06/2024,Pensions Division,NHS Workforce Services,,,"2,468,973.54",Payments to Pensioners,,Great Britain
Department of Health,NHS Business Services Authority,01/06/2024,Dental Contractors,Primary Care Services,,,"227,027,193.05",Payments to Dental Contractors,,Great Britain
Department of Health,NHS Business Services Authority,28/06/2024,Pharmacy Contractors,Primary Care Services,,,"8,650,160.10",Payments to Pharmacy Contractors,,Great Britain
Department of Health,NHS Business Services Authority,18/06/2024,Pharmacy Contractors,Primary Care Services,,,"107,252.20",Payments to Pharmacy Contractors,,Great Britain
Department of Health,NHS Business Services Authority,14/06/2024,Pharmacy Contractors,Primary Care Services,,,"50,221.00",Payments to Pharmacy Contractors,,Great Britain
Department of Health,NHS Business Services Authority,11/06/2024,Pharmacy Contractors,Primary Care Services,,,"99,178.89",Payments to Pharmacy Contractors,,Great Britain
Department of Health,NHS Business Services Authority,11/06/2024,Pharmacy Contractors,Primary Care Services,,,"840,453,665.38",Payments to Pharmacy Contractors,,Great Britain
